1     12.0           6  cn95       
2     30.85          7  hlk+04     
3     24.599         2  fkl+01     
4     24.729         2  fkl+01     
5     24.230         2  fkl+01     
6     24.379         5  fkl+01     
7     24.441         5  fkl+01     
8     24.36          3  fkl+01     
9     24.42          2  fkl+01     
10    24.5848        9  fck+03     
11    24.38          5  fkl+01     
12    24.42          2  fkl+01     
13    24.56          3  fkl+01     
14    24.363        10  fck+03     
15    24.3           1  clf+00     
16    24.29          2  fkl+01     
17    24.4           1  clf+00     
18    24.353         9  fck+03     
19    24.39          6  fkl+01     
20    24.335         4  fkl+01     
21    24.1           1  clf+00     
22    24.3           1  clf+00     
23    4.3328         2  lzb+00     
24    11.38          8  hlk+04     
25    13.7632       14  hlk+04     
26    92.595         9  hlk+04     
27    105.4          7  kjb+94     
28    39.94          4  hlk+04     
29    13.9           1  snt97      
30    44.125        15  hlk+04     
31    18.09          4  hlk+04     
32    27             5  ckm+01     
33    *              0  *          
34    65.853        16  hlk+04     
35    30.46          5  hlk+04     
36    61.092        16  hlk+04     
37    2.38          19  hlk+04     
38    125.49         3  ckm+01     
39    49.423         4  hlk+04     
40    22.948         8  dsb+98     
41    21.806         6  hlk+04     
42    26.6           4  lxf+05     
43    73.779         6  hlk+04     
44    34.797        11  hlk+04     
45    *              0  *          
46    40.111         3  hlk+04     
47    25.66          3  hlk+04     
48    11.922         4  hlk+04     
49    21.87          2  clm+05     
50    60.0           6  hlk+04     
51    30.21          3  hlk+04     
52    140.7          3  csl+02     
53    12.9          12  nmc81      
54    24.36          3  dsb+98     
55    84.00          5  hlk+04     
56    61.252         5  hlk+04     
57    46.64          3  hlk+04     
58    *              0  *          
59    15.9           5  mlt+78     
60    15.737         9  hlk+04     
61    26.01          3  hlk+04     
62    42.1           2  lxf+05     
63    26.833        10  hlk+04     
64    47.153         3  hlk+04     
65    67.30          6  hlk+04     
66    103.706        4  hlk+04     
67    57.153         3  hlk+04     
68    21.6           4  dmk+93     
69    65.303         7  hlk+04     
70    35.65          2  lxf+05     
71    27.465         4  hlk+04     
72    51            10  cnst96     
73    44.61          9  hlk+04     
74    53             5  rtj+96     
75    2.6469         1  sbm+97     
76    26.22          4  hlk+04     
77    37.041        10  hlk+04     
78    39.903         3  hlk+04     
79    14.495         7  hlk+04     
80    94.89         14  ckm+01     
81    21.02          3  hlk+04     
82    42.187         8  hlk+04     
83    68.9           3  ckm+01     
84    52.15         10  fgri04     
85    33.77          3  hlk+04     
86    79.345         3  hlk+04     
87    *              0  *          
88    50.937        17  hlk+04     
89    103.2          3  ckm+01     
90    83.7           1  snt97      
91    56.791         1  cr71       
92    89.4           8  ckm+01     
93    17.5           5  dmk+93     
94    *              0  *          
95    39.570         1  lwf+04     
96    146.5          2  jr03       
97    120            0  cfl+06     
98    29.41          7  dsb+98     
99    77.7115       17  hlk+04     
100   73.81          3  clm+05     
101   30             8  nmc81      
102   80.538         5  hlk+04     
103   38.73          2  lxf+05     
104   73             5  cnst96     
105   27.135         4  hlk+04     
106   38.7792        1  tsb+99     
107   96.91          7  hlk+04     
108   36.6010        6  sna+02     
109   70.835        11  hlk+04     
110   78            15  cnst96     
111   88             0  cfl+06     
112   84.195         4  hlk+04     
113   34.468        17  hlk+04     
114   125.4          9  hlk+04     
115   *              0  *          
116   *              0  *          
117   33.332        17  hlk+04     
118   13.977        13  hlk+04     
119   8.771          5  hlk+04     
120   45.0           1  lzb+00     
121   18.4106        3  tsb+99     
122   *              0  *          
123   98.98          3  hlk+04     
124   61.293        10  hlk+04     
125   92.3           3  mhl+02     
126   95.7           4  mhl+02     
127   48.9           2  lbk+04     
128   48.7           2  lbk+04     
129   160.8          7  tml93      
130   73.758         8  hlk+04     
131   122.3         19  nmc81      
132   104.595        9  dsb+98     
